Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
953467,945ATL21,Adani Transmission Ltd,Active,F ,1000000.00,INE931S07041,Electric Utilities,Debentures and Bonds
953468,845SBI26,State Bank Of India,Active,F ,1000000.00,INE062A08090,Banks,Debentures and Bonds
953470,ECLA9B604A,ECL Finance Ltd,Active,F ,100000.00,INE804I07K77,Electric Utilities,Debentures and Bonds
953471,9RHFL26A,Reliance Home Finance Ltd,Active,F ,500000.00,INE217K08230,Housing Finance ,Debentures and Bonds
953472,ECLA9B604B,ECL Finance Ltd,Active,F ,100000.00,INE804I07K85,Electric Utilities,Debentures and Bonds
953474,ECLA9B604D,ECL Finance Ltd,Active,F ,100000.00,INE804I07L01,Electric Utilities,Debentures and Bonds
953475,RCL18FEB16,Reliance Capital Ltd,Active,F ,100000.00,INE013A07V20,Finance (including NBFCs),Debentures and Bonds
953477,ECLB9C601B,ECL Finance Ltd,Active,F ,100000.00,INE804I07K51,Electric Utilities,Debentures and Bonds
953478,905APSEZ19,Adani Ports and Special Economic Zone Ltd,Active,F ,1000000.00,INE742F07304,Marine Port &amp; Services,Debentures and Bonds
953481,EFILA9B602A,Edelweiss Finance &amp; Investments Ltd,Active,F ,100000.00,INE918K07EP1,Other Financial Services,Debentures and Bonds
953482,18PSPL20,Parinee Shelters Pvt Ltd,Active,F ,1000000.00,INE056Q07025,Realty,Debentures and Bonds
953483,0BFL19I,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JG1,Finance (including NBFCs),Debentures and Bonds
953484,880BFL19A,Bajaj Finance Ltd,Active,F ,1000000.00,INE296A07JH9,Finance (including NBFCs),Debentures and Bonds
953485,1075EARCL21,Edelweiss Asset Reconstruction Company Ltd,Active,F ,1000000.00,INE015L07014,,Debentures and Bonds
953486,5NMBPL21,New Media Broadcasting Pvt Ltd,Active,F ,1000000.00,INE343U07011,,Debentures and Bonds
953487,ECLB8D601A,ECL Finance Ltd,Active,F ,100000.00,INE804I07L19,Electric Utilities,Debentures and Bonds
953488,895RCL19,Reliance Capital Ltd,Active,F ,1000000.00,INE013A07V46,Finance (including NBFCs),Debentures and Bonds
953489,702NHAI26,National Highways Authority Of India,Active,F ,1000000.00,INE906B07EK6,Roads &amp; Highways,Debentures and Bonds
